#datum;y_rs;y_rsh;y_rx;y_rxd;y_dr01;y_dr1;y_dr5;y_dr10;y_dr20;y_dr30;y_dr50;y_drho;y_drjeg;y_drziv;y_dron
1901;565.4;84.7;38.8;1901-07-23;137;95;34;14;5;1;0;31;3;30;1
1902;578.3;102.7;36.5;1902-05-20;121;80;36;18;5;1;0;30;3;24;1
1903;497.2;36.4;25.5;1903-07-06;140;87;39;15;1;0;0;18;3;25;1
1904;423.7;49.6;23.8;1904-03-30;126;78;25;13;3;0;0;33;1;11;1
1905;610.2;52.4;34.3;1905-06-14;136;92;38;20;4;1;0;34;4;28;1
1906;735.4;101.9;35.6;1906-09-17;129;91;45;24;8;3;0;44;9;26;0
1907;454.7;92.8;42.9;1907-06-23;128;87;25;11;3;1;0;43;3;19;0
1908;453.8;156.0;43.3;1908-05-28;108;73;25;12;3;2;0;44;5;19;1
1909;515.0;82.7;29.3;1909-10-26;130;83;35;13;6;0;0;35;2;29;1
1910;691.7;71.5;38.0;1910-09-21;142;96;43;20;5;3;0;28;1;32;1
1911;539.1;53.1;48.7;1911-05-31;139;79;29;19;5;2;0;31;4;32;0
1912;690.3;107.2;44.4;1912-04-02;145;96;38;19;7;4;0;26;4;20;2
1913;588.6;105.0;30.4;1913-07-08;125;87;35;18;6;1;0;42;3;22;1
1914;785.4;22.0;50.2;1914-07-17;119;86;43;27;12;4;1;24;6;30;2
1915;939.9;128.3;62.1;1915-09-03;179;121;53;30;12;2;2;40;2;29;1
1916;675.1;69.5;41.8;1916-04-24;157;97;45;21;6;1;0;19;3;35;1
1917;445.8;161.1;20.5;1917-12-07;133;87;30;11;1;0;0;49;3;25;0
1918;647.2;99.7;36.8;1918-06-12;145;101;41;14;7;3;0;37;2;23;1
1919;661.0;164.8;29.4;1919-11-02;164;119;49;17;1;0;0;52;4;29;2
1920;647.4;113.4;64.3;1920-07-29;149;96;35;18;3;2;1;29;4;31;1
1921;478.2;86.4;33.6;1921-08-29;119;75;27;13;3;2;0;26;1;26;0
1922;656.0;123.1;32.5;1922-09-04;152;96;40;21;4;1;0;29;4;16;2
1923;627.5;129.9;38.6;1923-04-15;158;91;36;19;6;1;0;36;1;17;0
1924;658.4;101.2;50.0;1924-06-02;135;79;38;20;7;3;1;38;2;26;1
1925;657.1;71.1;41.3;1925-07-16;148;96;41;18;5;2;0;31;1;32;1
1926;631.1;60.1;39.7;1926-06-23;155;91;40;19;5;2;0;23;4;36;1
1927;587.6;64.9;26.8;1927-08-30;152;97;46;14;1;0;0;33;2;28;0
1928;434.3;59.7;22.7;1928-11-09;133;78;25;12;1;0;0;40;4;25;1
1929;693.6;140.0;61.6;1929-08-13;129;92;41;18;7;2;1;42;5;36;0
1930;720.3;137.0;35.1;1930-02-07;148;98;51;30;3;1;0;27;5;29;4
1931;615.0;114.3;43.2;1931-04-21;147;89;45;15;3;2;0;48;7;23;0
1932;548.1;42.2;29.2;1932-05-29;120;77;35;20;3;0;0;43;5;31;5
1933;672.6;74.0;35.1;1933-08-21;129;88;47;22;7;2;0;46;3;31;2
1934;603.7;62.1;48.4;1934-05-18;121;82;34;17;6;3;0;27;7;36;0
