#datum;y_ss;y_sx;y_sxd;y_dsf20;y_dsf80
1912;1505.2;14.2;1912-06-12;156;13
1913;1627.4;13.4;1913-05-27;129;11
1914;1683.8;13.2;1914-07-15;154;27
1915;1686.2;13.6;1915-07-23;154;25
1916;1735.1;13.4;1916-06-16;140;29
1917;2084.9;14.4;1917-07-04;127;64
1918;1856.7;14.6;1918-05-23;134;43
1919;1967.9;15.0;1919-07-04;140;63
1920;2102.2;14.6;1920-07-07;119;67
1921;2238.2;15.2;1921-06-08;115;72
1922;1904.6;14.8;1922-06-21;144;54
1923;2020.3;14.3;1923-05-20;137;53
1924;1793.7;14.2;1924-07-13;147;40
1925;2017.0;14.6;1925-06-06;123;50
1926;1938.6;13.9;1926-07-18;124;50
1927;2098.3;14.9;1927-06-29;126;70
1928;2271.6;15.0;1928-06-13;112;75
1929;2213.9;14.8;1929-07-15;104;71
1930;2240.8;15.3;1930-07-03;114;85
1931;2299.7;15.2;1931-07-11;113;95
1932;2233.7;15.0;1932-06-27;120;85
1933;2083.2;15.1;1933-07-07;128;66
1934;2153.1;15.3;1934-06-18;121;65
1935;2277.6;15.3;1935-07-01;106;75
1936;2030.7;14.8;1936-06-23;123;64
1937;2008.6;14.7;1937-06-10;125;56
1938;2150.6;14.8;1938-07-07;111;63
1939;2002.8;14.7;1939-06-03;126;68
1940;1818.0;14.1;1940-07-03;141;42
1941;1824.7;14.2;1941-07-13;140;47
1942;2017.1;14.7;1942-06-23;138;63
1943;2209.2;14.4;1943-07-16;109;76
1944;1884.1;14.7;1944-05-29;146;56
1945;2142.2;14.2;1945-06-20;117;67
1946;2292.9;14.6;1946-07-13;110;89
1947;2096.3;14.6;1947-05-31;128;65
1948;2169.1;14.6;1948-06-16;118;68
1949;2259.6;14.7;1949-06-07;99;85
1950;2159.5;14.4;1950-06-12;117;60
1951;2022.3;14.6;1951-06-12;130;61
1952;2046.5;14.8;1952-07-07;127;55
1953;2108.8;14.4;1953-07-24;110;63
1954;1782.4;13.9;1954-06-13;150;37
1955;1748.6;14.7;1955-05-30;148;39
1956;1998.5;14.8;1956-07-09;121;63
1957;1971.0;15.0;1957-06-17;132;63
1958;1975.6;14.6;1958-07-13;138;60
1959;2035.5;14.6;1959-05-24;124;59
1960;1900.3;14.2;1960-06-23;126;42
1961;2201.8;14.5;1961-07-07;114;73
1962;1997.9;14.3;1962-05-31;123;66
1963;2050.1;14.8;1963-06-26;115;46
1964;1895.5;14.2;1964-06-11;145;60
1965;1958.8;14.8;1965-07-09;127;48
1966;1945.0;14.8;1966-06-22;120;54
1967;2141.5;14.2;1967-06-26;95;58
1968;2071.7;15.2;1968-07-01;124;67
1969;1847.7;14.8;1969-07-16;145;44
1970;1656.9;14.1;1970-06-14;159;26
1971;1812.5;14.0;1971-07-09;143;35
1972;1646.4;13.8;1972-06-07;153;21
1973;2011.3;14.4;1973-06-18;119;43
1974;1748.1;14.3;1974-06-03;142;32
1975;1874.6;14.7;1975-06-27;124;37
1976;1871.5;14.6;1976-07-01;143;45
1977;1954.1;14.9;1977-07-16;121;52
1978;1780.9;14.9;1978-06-19;136;40
1979;1988.8;14.2;1979-05-29;138;62
1980;1743.1;14.7;1980-06-12;146;33
1981;2056.1;14.8;1981-06-30;110;59
1982;1933.8;14.3;1982-05-31;122;41
1983;2142.1;13.8;1983-05-18;98;56
1984;1775.1;14.7;1984-07-10;129;26
1985;1956.1;13.7;1985-06-05;127;40
1986;2071.3;14.2;1986-06-26;115;46
1987;1804.1;13.9;1987-07-06;137;38
1988;2030.7;13.3;1988-06-03;112;44
1989;1854.1;13.3;1989-06-10;125;24
1990;2014.3;13.2;1990-07-15;118;48
1991;1863.0;13.8;1991-06-23;124;28
1992;2093.7;12.9;1992-07-20;101;31
1993;2091.6;13.1;1993-06-16;114;41
1994;1976.7;13.0;1994-05-03;105;27
1995;1845.2;13.2;1995-07-10;138;28
1996;1784.1;13.4;1996-06-08;137;18
1997;2075.3;13.4;1997-07-04;109;51
1998;2037.0;14.2;1998-06-23;111;51
1999;1926.8;13.9;1999-06-26;127;41
2000;2195.4;14.3;2000-06-22;113;68
2001;1832.0;13.9;2001-06-26;135;27
2002;1850.1;13.8;2002-06-20;137;39
2003;2302.8;14.2;2003-06-04;97;80
2004;1902.5;14.1;2004-05-20;142;62
2005;2167.0;14.8;2005-06-24;115;86
2006;2163.5;14.5;2006-07-06;111;80
2007;2279.4;14.7;2007-07-15;100;75
2008;2170.8;14.5;2008-06-23;100;78
2009;2158.1;14.9;2009-06-14;121;74
2010;1945.3;15.1;2010-07-08;128;70
2011;2393.1;14.8;2011-07-12;106;102
2012;2472.6;15.2;2012-06-16;88;120
2013;;;;;
