#datum;y_tnn;y_tnnd;y_tna;y_dtn0;y_dtn10;y_dtn20
1901;-16.9;1901-01-10;7.2;80;21;6
1902;-18.9;1902-12-15;6.7;61;7;3
1903;-12.6;1903-01-24;7.8;37;5;3
1904;-9.8;1904-01-07;7.7;67;0;8
1905;-13.2;1905-01-02;7.5;60;10;17
1906;-10.3;1906-12-31;7.6;61;1;3
1907;-15.0;1907-01-01;6.9;82;11;1
1908;-10.8;1908-01-04;6.9;83;2;6
1909;-11.4;1909-01-28;7.5;79;4;2
1910;-7.0;1910-11-22;7.2;44;0;1
1911;-15.2;1911-02-07;6.5;67;7;1
1912;-16.4;1912-01-15;5.3;86;11;0
1913;-14.7;1913-01-15;5.9;89;5;0
1914;-13.8;1914-01-30;5.7;83;10;0
1915;-11.9;1915-11-29;6.4;64;3;0
1916;-5.5;1916-02-22;7.2;41;0;2
1917;-19.0;1917-02-09;5.8;93;13;1
1918;-9.3;1918-11-24;6.6;74;0;1
1919;-12.2;1919-02-09;6.3;61;3;0
1920;-9.5;1920-10-31;6.8;72;0;0
1921;-9.3;1921-12-02;6.4;75;0;5
1922;-12.8;1922-02-09;5.6;94;11;2
1923;-15.5;1923-12-28;6.9;52;4;3
1924;-13.1;1924-01-25;6.2;107;3;0
1925;-16.3;1925-12-05;6.4;79;12;0
1926;-12.7;1926-01-12;7.3;47;3;1
1927;-19.1;1927-12-22;6.8;77;9;2
1928;-14.8;1928-01-04;6.7;73;5;5
1929;-23.4;1929-02-11;6.0;95;25;5
1930;-9.6;1930-02-09;7.6;56;0;6
1931;-10.3;1931-12-20;6.3;100;1;3
1932;-11.5;1932-02-12;6.7;108;3;5
1933;-12.6;1933-12-19;6.1;79;9;2
1934;-10.9;1934-02-03;8.3;55;2;3
1935;-16.6;1935-02-13;6.7;82;8;3
1936;-11.9;1936-02-11;7.7;49;1;4
1937;-11.9;1937-01-25;7.7;63;6;4
1938;-17.3;1938-01-06;7.3;59;9;11
1939;-12.8;1939-12-29;7.5;69;4;4
1940;-18.1;1940-02-15;5.1;111;35;0
1941;-14.5;1941-01-30;6.3;76;6;4
1942;-21.7;1942-01-24;6.1;92;19;2
1943;-16.1;1943-01-12;7.2;68;4;8
1944;-9.1;1944-12-27;7.4;66;0;5
1945;-14.0;1945-01-29;7.4;77;1;7
1946;-12.4;1946-12-20;7.7;71;5;15
1947;-18.6;1947-02-01;7.5;84;16;17
1948;-11.9;1948-12-21;7.6;67;1;11
1949;-9.8;1949-02-04;7.8;56;0;4
1950;-15.0;1950-01-12;8.1;46;9;15
1951;-5.9;1951-12-25;8.4;33;0;10
1952;-9.4;1952-03-07;7.4;77;0;14
1953;-10.0;1953-12-19;7.2;74;1;1
1954;-18.5;1954-01-28;6.6;73;19;5
1955;-11.2;1955-01-06;7.0;77;1;2
1956;-18.8;1956-02-10;5.9;92;21;3
1957;-11.1;1957-01-18;7.3;67;3;12
1958;-10.1;1958-01-31;7.3;77;1;6
1959;-9.0;1959-02-14;7.3;59;0;2
1960;-14.0;1960-01-15;7.4;54;10;0
1961;-11.5;1961-01-28;7.8;54;5;6
1962;-9.5;1962-12-23;7.0;90;0;15
1963;-16.6;1963-01-18;6.6;95;20;13
1964;-15.9;1964-01-22;6.9;82;11;3
1965;-9.9;1965-11-25;6.6;84;0;1
1966;-11.8;1966-01-21;8.0;56;1;3
1967;-12.2;1967-01-11;7.8;66;1;7
1968;-15.0;1968-01-11;7.6;69;5;8
1969;-12.7;1969-01-13;7.2;78;5;4
1970;-11.0;1970-12-27;7.4;70;1;5
1971;-10.5;1971-01-05;7.4;67;2;9
1972;-11.6;1972-01-17;7.7;49;2;13
1973;-13.0;1973-12-03;7.5;70;2;3
1974;-4.5;1974-01-14;8.3;25;0;13
1975;-8.5;1975-11-26;8.3;52;0;0
1976;-10.8;1976-12-31;7.5;71;1;4
1977;-8.7;1977-01-01;7.7;56;0;0
1978;-9.5;1978-02-22;6.8;67;0;0
1979;-13.0;1979-01-02;7.7;61;4;5
1980;-13.9;1980-01-14;6.4;74;3;2
1981;-10.4;1981-01-10;7.7;69;2;5
1982;-13.6;1982-01-11;7.7;62;3;6
1983;-9.3;1983-12-13;7.8;58;0;7
1984;-7.0;1984-01-12;7.1;72;0;2
1985;-15.5;1985-01-08;6.8;69;15;7
1986;-11.8;1986-02-28;7.1;76;5;12
1987;-18.1;1987-01-12;7.1;72;12;14
1988;-8.4;1988-11-24;7.9;48;0;12
1989;-7.5;1989-12-11;8.7;58;0;14
1990;-9.7;1990-01-09;8.3;38;0;7
1991;-11.7;1991-02-01;7.7;70;3;17
1992;-9.6;1992-12-26;8.6;44;0;30
1993;-9.7;1993-01-02;7.8;80;0;10
1994;-7.2;1994-02-14;8.8;32;0;30
1995;-11.5;1995-12-29;7.3;66;2;6
1996;-11.3;1996-12-31;6.7;88;6;6
1997;-11.9;1997-01-01;7.5;72;1;4
1998;-10.6;1998-12-25;8.2;61;3;19
1999;-9.8;1999-12-25;8.3;61;0;4
2000;-10.0;2000-01-25;8.9;48;1;18
2001;-11.5;2001-12-25;8.0;71;2;15
2002;-10.2;2002-01-04;9.0;50;1;21
2003;-12.5;2003-01-13;8.0;86;2;28
2004;-9.8;2004-01-06;7.9;71;0;9
2005;-10.9;2005-02-10;7.5;79;3;9
2006;-12.0;2006-01-25;8.3;71;5;21
2007;-6.2;2007-12-30;9.4;28;0;21
2008;-8.6;2008-02-17;9.1;38;0;16
2009;-13.7;2009-12-21;8.6;49;3;12
2010;-10.5;2010-01-28;7.8;83;2;18
2011;-7.5;2011-02-24;8.2;68;0;15
2012;-13.1;2012-02-06;8.8;63;5;27
2013;-5.8;2013-03-17;8.7;61;0;25
2014;-11.1;2014-12-31;9.7;22;1;17
2015;-7.2;2015-01-07;9.3;37;0;35
2016;-9.0;2016-01-04;8.8;45;0;17
2017;-15.2;2017-01-08;8.7;56;4;26
2018;-9.8;2018-02-26;9.8;54;0;31
2019;-5.6;2019-01-07;9.9;39;0;41
2020;-3.5;2020-01-03;9.3;38;0;23
