#datum;y_txx;y_txxd;y_txa;y_dtx0;y_dtx25;y_dtx30;y_dtx35
1901;34.0;1901-07-30;14.9;31;77;20;0
1902;32.0;1902-08-07;13.8;21;61;10;0
1903;35.2;1903-07-20;15.3;14;61;8;1
1904;35.0;1904-07-17;15.0;25;81;26;1
1905;35.0;1905-08-04;14.8;19;79;26;1
1906;33.3;1906-06-29;15.2;21;74;15;0
1907;33.0;1907-07-02;14.6;24;71;7;0
1908;35.1;1908-06-20;14.3;29;77;13;1
1909;33.9;1909-07-26;14.8;30;69;11;0
1910;34.9;1910-08-22;15.2;4;63;11;0
1911;34.1;1911-07-25;15.7;16;78;22;0
1912;33.3;1912-07-29;14.2;23;60;7;0
1913;31.2;1913-06-04;15.2;22;54;2;0
1914;33.2;1914-07-23;14.9;35;74;10;0
1915;32.3;1915-07-08;15.1;14;66;11;0
1916;34.2;1916-07-04;16.3;4;74;14;0
1917;36.4;1917-08-02;16.2;36;116;42;5
1918;35.2;1918-07-18;16.0;11;72;20;1
1919;33.6;1919-08-21;15.1;12;76;20;0
1920;34.9;1920-07-19;16.2;11;84;26;0
1921;38.7;1921-08-12;17.0;13;96;30;11
1922;36.7;1922-08-15;14.7;36;81;29;3
1923;35.1;1923-08-10;16.4;16;89;25;1
1924;34.1;1924-07-05;14.8;39;94;17;0
1925;32.2;1925-08-19;15.9;26;79;19;0
1926;31.5;1926-07-20;16.4;12;74;6;0
1927;35.2;1927-07-09;16.1;21;91;35;2
1928;38.4;1928-07-17;16.2;14;85;48;12
1929;36.8;1929-07-24;15.1;44;99;35;3
1930;34.5;1930-07-04;16.5;13;94;37;0
1931;37.4;1931-07-15;15.4;20;91;39;6
1932;35.8;1932-07-08;15.6;35;104;48;1
1933;37.2;1933-07-16;15.0;37;74;28;6
1934;35.4;1934-08-04;17.3;14;118;21;1
1935;39.5;1935-06-28;15.9;24;94;27;2
1936;37.0;1936-07-28;15.8;13;85;25;2
1937;34.7;1937-06-11;15.8;30;99;28;0
1938;35.5;1938-08-03;16.1;20;79;30;1
1939;35.8;1939-08-06;16.1;10;100;29;4
1940;32.3;1940-07-08;13.3;64;72;5;0
1941;33.4;1941-08-19;14.4;27;65;12;0
1942;34.4;1942-08-31;14.8;42;100;34;0
1943;39.0;1943-08-21;16.5;22;94;32;5
1944;33.4;1944-08-13;15.2;15;75;22;0
1945;35.9;1945-07-27;15.8;26;97;30;2
1946;37.9;1946-08-10;16.7;32;116;48;9
1947;37.3;1947-08-05;16.6;38;123;53;3
1948;36.9;1948-08-10;16.1;28;86;25;1
1949;35.3;1949-08-02;16.8;6;81;26;2
1950;38.3;1950-07-01;16.6;24;98;48;10
1951;34.4;1951-08-05;16.5;10;85;32;0
1952;38.5;1952-08-15;15.5;7;95;41;8
1953;32.9;1953-07-18;16.0;16;96;20;0
1954;35.2;1954-08-15;14.5;43;82;27;1
1955;32.1;1955-07-03;14.6;13;72;5;0
1956;33.5;1956-08-07;14.2;35;79;15;0
1957;37.2;1957-07-08;15.5;17;72;20;4
1958;35.3;1958-07-16;15.6;16;87;25;1
