#datum;m_rs;m_rsh;m_rx;m_rxd;m_dr01;m_dr1;m_dr5;m_dr10;m_dr20;m_dr30;m_dr50;m_drho;m_drjeg;m_drziv;m_dron
1901-01;35.6;26.4;8.1;1901-01-27;15;10;2;0;0;0;0;13;0;0;1
1901-02;17.2;10.3;5.8;1901-02-08;9;6;1;0;0;0;0;8;0;0;0
1901-03;71.3;38.8;25.2;1901-03-04;12;10;4;2;1;0;0;6;0;0;0
1901-04;39.2;;20.2;1901-04-13;11;4;2;2;1;0;0;0;0;1;0
1901-05;44.0;;15.9;1901-05-25;13;9;3;1;0;0;0;0;0;8;0
1901-06;50.6;;12.5;1901-06-22;10;9;4;2;0;0;0;0;0;4;0
1901-07;92.0;;38.8;1901-07-23;11;7;5;3;1;1;0;0;0;10;0
1901-08;52.4;;26.0;1901-08-17;7;5;3;2;1;0;0;0;1;4;0
1901-09;36.2;;9.8;1901-09-16;9;8;3;0;0;0;0;0;1;2;0
1901-10;48.4;;7.3;1901-10-09;14;12;4;0;0;0;0;0;0;0;0
1901-11;33.1;5.2;23.5;1901-11-15;8;6;1;1;1;0;0;3;0;0;0
1901-12;45.4;4.0;13.7;1901-12-14;18;9;2;1;0;0;0;1;1;1;0
1902-01;23.6;20.8;8.0;1902-01-16;7;5;2;0;0;0;0;4;0;0;0
1902-02;83.8;36.6;16.7;1902-02-10;20;13;5;3;0;0;0;8;0;0;0
1902-03;41.9;13.8;11.9;1902-03-04;11;8;3;1;0;0;0;6;0;1;0
1902-04;42.6;;20.9;1902-04-15;8;4;3;1;1;0;0;0;0;1;0
1902-05;111.6;;36.5;1902-05-20;15;11;6;5;1;1;0;0;3;5;0
1902-06;45.1;;19.5;1902-06-12;12;7;3;1;0;0;0;0;0;3;0
1902-07;39.7;;12.6;1902-07-11;8;6;3;1;0;0;0;0;0;4;0
1902-08;35.6;;20.3;1902-08-09;5;2;2;2;1;0;0;0;0;5;0
1902-09;15.3;;4.1;1902-09-13;8;5;0;0;0;0;0;0;0;4;0
1902-10;96.8;;23.1;1902-10-17;12;8;5;4;2;0;0;0;0;1;0
1902-11;6.1;5.7;5.7;1902-11-26;2;1;1;0;0;0;0;1;0;0;0
1902-12;36.2;25.8;5.8;1902-12-18;13;10;3;0;0;0;0;11;0;0;1
1903-01;22.2;2.3;6.3;1903-01-04;15;6;2;0;0;0;0;5;0;0;1
1903-02;7.6;2.2;3.0;1903-02-02;5;3;0;0;0;0;0;2;0;0;0
1903-03;10.7;0.1;4.8;1903-03-03;7;3;0;0;0;0;0;1;1;0;0
1903-04;68.9;5.7;19.5;1903-04-17;17;9;4;3;0;0;0;3;0;2;0
1903-05;28.6;;11.0;1903-05-30;9;7;2;1;0;0;0;0;0;3;0
1903-06;73.5;;14.5;1903-06-11;14;8;6;4;0;0;0;0;0;6;0
1903-07;80.3;;25.5;1903-07-06;10;9;7;3;1;0;0;0;2;4;0
1903-08;12.5;;5.4;1903-08-03;6;3;1;0;0;0;0;0;0;2;0
1903-09;46.6;;10.2;1903-09-16;13;10;4;1;0;0;0;0;0;7;0
1903-10;22.0;;7.1;1903-10-23;9;6;2;0;0;0;0;0;0;0;0
1903-11;65.7;12.0;10.8;1903-11-19;17;12;7;1;0;0;0;3;0;1;0
1903-12;58.6;14.1;18.1;1903-12-01;18;11;4;2;0;0;0;4;0;0;0
1904-01;19.5;16.9;7.9;1904-01-17;11;6;1;0;0;0;0;12;0;0;1
1904-02;55.6;9.6;13.1;1904-02-09;16;12;3;2;0;0;0;6;0;0;0
1904-03;35.4;1.6;23.8;1904-03-30;8;5;2;1;1;0;0;3;0;0;0
1904-04;15.6;;3.8;1904-04-04;10;6;0;0;0;0;0;0;0;0;0
1904-05;51.0;;23.1;1904-05-23;12;7;2;2;1;0;0;0;0;2;0
1904-06;24.5;;16.1;1904-06-26;7;4;1;1;0;0;0;0;0;2;0
