#datum;m_ss;m_sx;m_sxd;m_dsf20;m_dsf80
1912-01;46.8;7.3;1912-01-11;22;1
1912-02;67.4;8.6;1912-02-29;17;0
1912-03;122.2;9.1;1912-03-30;11;0
1912-04;144.8;10.8;1912-04-21;12;0
1912-05;232.5;13.5;1912-05-31;5;5
1912-06;250.6;14.2;1912-06-12;5;6
1912-07;216.7;12.7;1912-07-08;4;1
1912-08;190.8;11.5;1912-08-01;8;0
1912-09;60.6;7.4;1912-09-29;19;0
1912-10;69.4;6.7;1912-10-24;16;0
1912-11;68.6;7.1;1912-11-02;14;0
1912-12;34.8;5.4;1912-12-04;23;0
1913-01;29.7;5.9;1913-01-28;23;0
1913-02;85.5;7.4;1913-02-05;11;0
1913-03;128.8;8.4;1913-03-29;8;0
1913-04;148.2;11.3;1913-04-22;10;1
1913-05;188.0;13.4;1913-05-27;9;5
1913-06;243.7;13.3;1913-06-06;6;2
1913-07;193.5;12.8;1913-07-10;8;2
1913-08;199.2;12.2;1913-08-05;7;1
1913-09;125.6;9.0;1913-09-18;9;0
1913-10;156.1;8.0;1913-10-22;6;0
1913-11;72.2;7.2;1913-11-10;16;0
1913-12;56.9;5.5;1913-12-01;16;0
1914-01;54.8;6.9;1914-01-10;20;0
1914-02;45.9;7.0;1914-02-21;18;0
1914-03;103.6;9.3;1914-03-29;14;0
1914-04;195.1;11.6;1914-04-29;4;1
1914-05;213.0;12.9;1914-05-29;10;7
1914-06;214.5;13.1;1914-06-04;5;2
1914-07;223.2;13.2;1914-07-15;6;3
1914-08;299.8;12.7;1914-08-02;2;12
1914-09;148.7;10.7;1914-09-02;11;1
1914-10;111.0;8.7;1914-10-01;16;0
1914-11;45.1;8.1;1914-11-02;22;1
1914-12;29.1;6.6;1914-12-18;26;0
1915-01;58.5;7.0;1915-01-26;20;0
1915-02;53.7;8.3;1915-02-22;17;0
1915-03;81.7;9.3;1915-03-21;20;0
1915-04;183.2;12.7;1915-04-29;7;3
1915-05;254.5;13.0;1915-05-24;4;3
1915-06;243.1;13.4;1915-06-15;7;7
1915-07;243.1;13.6;1915-07-23;6;4
1915-08;242.1;12.5;1915-08-02;5;3
1915-09;161.4;10.7;1915-09-01;7;2
1915-10;42.4;7.8;1915-10-12;24;0
1915-11;89.6;7.7;1915-11-28;13;3
1915-12;32.9;6.8;1915-12-04;24;0
1916-01;70.1;7.7;1916-01-26;18;2
1916-02;48.9;7.9;1916-02-12;18;0
1916-03;98.1;8.5;1916-03-29;16;0
1916-04;149.5;10.5;1916-04-08;11;1
1916-05;265.1;13.1;1916-05-31;2;5
1916-06;253.1;13.4;1916-06-12;4;3
1916-07;244.8;13.1;1916-07-11;2;4
1916-08;267.2;12.5;1916-08-02;3;8
1916-09;152.8;11.7;1916-09-02;9;3
1916-10;102.8;9.4;1916-10-04;14;1
1916-11;51.4;8.0;1916-11-14;19;1
1916-12;31.3;7.4;1916-12-28;24;1
1917-01;39.8;7.1;1917-01-22;23;0
1917-02;81.3;8.1;1917-02-28;12;0
1917-03;88.9;9.6;1917-03-16;18;1
1917-04;117.7;11.0;1917-04-30;12;0
1917-05;306.8;13.8;1917-05-22;2;12
1917-06;356.0;14.4;1917-06-25;0;12
1917-07;305.2;14.4;1917-07-04;0;10
1917-08;305.5;13.5;1917-08-04;2;15
1917-09;268.6;11.6;1917-09-06;1;9
1917-10;111.8;9.4;1917-10-01;14;1
1917-11;73.5;8.3;1917-11-22;17;3
1917-12;29.8;7.4;1917-12-16;26;1
1918-01;77.8;7.0;1918-01-04;11;1
1918-02;84.6;8.6;1918-02-26;13;0
1918-03;145.6;10.0;1918-03-24;9;1
1918-04;159.4;12.7;1918-04-29;8;2
1918-05;247.4;14.6;1918-05-23;8;11
1918-06;266.1;13.9;1918-06-16;5;5
1918-07;245.9;14.1;1918-07-16;7;6
1918-08;232.7;13.3;1918-08-01;6;8
1918-09;218.5;12.3;1918-09-01;6;8
1918-10;101.9;8.1;1918-10-20;14;0
1918-11;45.0;7.4;1918-11-13;23;1
1918-12;31.8;5.5;1918-12-14;24;0
1919-01;23.9;7.3;1919-01-08;27;1
1919-02;73.3;8.9;1919-02-10;16;3
1919-03;102.9;9.6;1919-03-08;17;1
1919-04;184.0;12.8;1919-04-28;7;5
1919-05;249.6;13.4;1919-05-29;4;7
1919-06;300.5;14.7;1919-06-18;1;10
1919-07;289.3;15.0;1919-07-04;5;11
1919-08;308.8;13.5;1919-08-16;1;13
1919-09;241.2;11.1;1919-09-06;4;9
1919-10;106.9;9.3;1919-10-17;14;2
1919-11;48.8;7.6;1919-11-17;21;1
1919-12;38.7;6.1;1919-12-18;23;0
1920-01;67.3;7.8;1920-01-15;18;3
1920-02;134.5;9.2;1920-02-28;8;2
1920-03;145.8;10.0;1920-03-22;11;3
1920-04;205.5;11.7;1920-04-16;6;3
1920-05;334.4;14.6;1920-05-20;3;19
1920-06;230.6;14.3;1920-06-29;5;5
1920-07;296.1;14.6;1920-07-07;6;13
1920-08;244.9;14.0;1920-08-03;3;8
1920-09;188.8;11.0;1920-09-09;7;1
1920-10;173.3;9.2;1920-10-11;5;7
1920-11;64.8;8.6;1920-11-01;18;2
1920-12;16.2;6.9;1920-12-19;29;1
1921-01;73.7;8.0;1921-01-25;15;3
1921-02;91.3;8.8;1921-02-19;14;1
1921-03;225.1;10.0;1921-03-25;4;3
1921-04;165.0;11.6;1921-04-13;11;4
1921-05;304.0;14.8;1921-05-24;3;11
1921-06;264.8;15.2;1921-06-08;7;12
1921-07;336.2;14.4;1921-07-07;1;13
1921-08;284.8;13.8;1921-08-06;4;15
1921-09;222.1;10.3;1921-09-01;4;3
1921-10;211.4;9.0;1921-10-07;5;7
1921-11;32.0;7.5;1921-11-01;23;0
1921-12;27.8;6.4;1921-12-22;24;0
1922-01;53.2;6.8;1922-01-11;19;0
1922-02;41.0;6.4;1922-02-21;19;0
1922-03;118.9;9.3;1922-03-18;13;0
1922-04;183.8;13.0;1922-04-17;10;5
1922-05;305.8;14.6;1922-05-29;3;11
1922-06;300.6;14.8;1922-06-09;3;10
1922-07;325.1;14.2;1922-07-08;0;12
1922-08;304.7;13.3;1922-08-01;2;14
1922-09;108.3;9.7;1922-09-21;14;0
1922-10;53.9;7.5;1922-10-16;21;0
1922-11;82.9;8.3;1922-11-28;14;2
1922-12;26.4;6.3;1922-12-10;26;0
1923-01;41.5;5.4;1923-01-25;23;0
1923-02;33.5;8.4;1923-02-23;21;0
1923-03;139.1;9.7;1923-03-25;13;0
1923-04;113.5;12.4;1923-04-26;18;3
1923-05;332.0;14.3;1923-05-20;1;15
1923-06;238.8;13.3;1923-06-06;7;3
1923-07;330.7;14.0;1923-07-10;0;12
1923-08;330.4;14.0;1923-08-02;1;18
1923-09;215.2;10.7;1923-09-07;5;1
1923-10;146.4;8.9;1923-10-01;8;1
1923-11;52.8;6.4;1923-11-30;20;0
1923-12;46.4;6.2;1923-12-22;20;0
1924-01;57.5;6.9;1924-01-25;18;0
1924-02;59.4;8.0;1924-02-09;20;2
1924-03;83.3;8.6;1924-03-20;18;0
1924-04;120.1;12.0;1924-04-14;14;1
1924-05;251.6;14.2;1924-05-31;4;6
1924-06;249.2;13.7;1924-06-09;4;6
1924-07;304.2;14.2;1924-07-13;4;12
1924-08;271.0;12.9;1924-08-02;3;10
1924-09;187.7;10.9;1924-09-06;6;1
1924-10;112.6;9.0;1924-10-04;12;0
1924-11;74.5;8.0;1924-11-09;18;2
1924-12;22.6;5.0;1924-12-30;26;0
1925-01;48.1;7.2;1925-01-29;23;1
1925-02;87.2;7.9;1925-02-18;13;0
1925-03;162.6;11.4;1925-03-31;7;4
1925-04;215.2;11.9;1925-04-13;5;6
1925-05;275.9;13.8;1925-05-31;4;8
1925-06;268.5;14.6;1925-06-06;4;9
1925-07;276.3;13.8;1925-07-04;2;3
1925-08;244.6;12.5;1925-08-11;6;10
1925-09;160.7;10.8;1925-09-08;10;4
1925-10;171.5;9.7;1925-10-10;9;4
1925-11;64.3;6.7;1925-11-19;17;0
1925-12;42.1;7.0;1925-12-24;23;1
1926-01;59.1;7.4;1926-01-27;20;0
1926-02;41.2;8.4;1926-02-23;20;0
1926-03;127.0;10.2;1926-03-11;12;2
1926-04;245.2;13.2;1926-04-29;4;11
1926-05;242.6;13.9;1926-05-12;5;7
1926-06;176.3;13.4;1926-06-07;11;2
1926-07;239.2;13.9;1926-07-18;6;5
1926-08;263.9;12.5;1926-08-11;3;8
1926-09;243.5;12.4;1926-09-01;2;9
1926-10;148.8;9.2;1926-10-06;10;5
1926-11;87.6;7.6;1926-11-04;14;0
1926-12;64.2;6.8;1926-12-07;17;1
1927-01;39.4;5.8;1927-01-13;22;0
1927-02;110.7;9.5;1927-02-28;12;5
1927-03;136.2;10.1;1927-03-16;14;3
1927-04;201.9;12.9;1927-04-18;7;5
1927-05;274.9;14.5;1927-05-31;5;12
1927-06;327.7;14.9;1927-06-21;1;17
1927-07;326.9;14.7;1927-07-02;1;12
1927-08;258.0;13.2;1927-08-22;6;9
1927-09;178.6;10.7;1927-09-07;7;3
1927-10;143.6;9.7;1927-10-04;10;3
1927-11;70.0;7.7;1927-11-26;16;1
1927-12;30.4;5.8;1927-12-14;25;0
1928-01;49.0;6.3;1928-01-30;20;0
1928-02;141.6;9.6;1928-02-21;9;7
1928-03;148.2;10.0;1928-03-30;12;0
1928-04;185.3;12.9;1928-04-10;7;2
1928-05;253.1;14.2;1928-05-22;6;8
1928-06;333.2;15.0;1928-06-10;1;15
1928-07;379.6;14.9;1928-07-02;0;19
1928-08;317.1;14.0;1928-08-03;2;13
1928-09;175.2;11.2;1928-09-04;9;8
1928-10;174.0;9.1;1928-10-06;7;2
1928-11;91.7;8.0;1928-11-12;13;1
1928-12;23.6;6.6;1928-12-02;26;0
1929-01;85.0;8.3;1929-01-20;16;4
1929-02;78.7;8.4;1929-02-01;16;2
1929-03;181.5;9.7;1929-03-01;6;1
1929-04;185.9;13.0;1929-04-18;8;6
1929-05;235.0;14.3;1929-05-07;5;5
1929-06;240.6;14.5;1929-06-12;5;4
1929-07;358.9;14.8;1929-07-15;1;20
1929-08;295.4;12.9;1929-08-17;0;11
1929-09;256.2;10.9;1929-09-02;1;12
1929-10;171.0;9.4;1929-10-05;8;4
1929-11;58.1;6.9;1929-11-02;19;0
1929-12;67.6;7.3;1929-12-11;19;2
1930-01;35.4;6.7;1930-01-27;24;0
1930-02;132.6;9.2;1930-02-20;9;6
1930-03;158.2;11.0;1930-03-31;8;3
1930-04;183.9;12.5;1930-04-27;8;5
1930-05;269.2;13.6;1930-05-17;4;8
1930-06;373.8;14.9;1930-06-07;1;19
1930-07;329.9;15.3;1930-07-03;2;15
1930-08;293.9;14.0;1930-08-01;4;15
1930-09;192.3;11.5;1930-09-01;6;5
1930-10;133.2;9.3;1930-10-03;14;5
1930-11;107.7;8.2;1930-11-18;10;4
1930-12;30.7;6.6;1930-12-16;24;0
1931-01;78.2;8.0;1931-01-28;20;6
1931-02;43.0;7.0;1931-02-21;19;0
1931-03;141.9;10.0;1931-03-24;11;4
1931-04;242.4;13.3;1931-04-26;6;10
1931-05;327.9;14.6;1931-05-25;2;13
1931-06;345.4;15.1;1931-06-28;0;13
1931-07;363.3;15.2;1931-07-11;1;18
1931-08;265.3;13.9;1931-08-08;4;11
1931-09;138.1;11.1;1931-09-05;11;4
1931-10;179.1;9.6;1931-10-04;8;8
1931-11;87.9;9.0;1931-11-01;17;4
1931-12;87.2;7.4;1931-12-12;14;4
1932-01;47.5;7.4;1932-01-02;23;2
1932-02;119.9;9.3;1932-02-21;11;2
1932-03;128.8;10.6;1932-03-28;13;3
1932-04;186.7;12.8;1932-04-29;9;3
1932-05;279.5;14.4;1932-05-22;4;11
1932-06;306.1;15.0;1932-06-04;4;11
1932-07;347.7;14.8;1932-07-05;1;16
1932-08;319.6;13.9;1932-08-09;3;22
1932-09;253.1;11.1;1932-09-07;0;7
1932-10;138.6;9.5;1932-10-12;10;4
1932-11;79.1;8.6;1932-11-02;16;3
1932-12;27.1;7.6;1932-12-07;26;1
1933-01;7.3;2.8;1933-01-28;29;0
1933-02;82.0;9.1;1933-02-17;16;2
1933-03;155.3;10.3;1933-03-30;10;1
1933-04;193.1;13.5;1933-04-26;6;3
1933-05;240.9;14.4;1933-05-29;8;8
1933-06;267.0;14.0;1933-06-21;2;5
1933-07;354.0;15.1;1933-07-01;1;19
1933-08;314.9;14.2;1933-08-06;1;13
1933-09;239.7;11.8;1933-09-07;2;11
1933-10;120.2;9.3;1933-10-04;13;2
1933-11;72.5;7.6;1933-11-02;17;1
1933-12;36.3;7.6;1933-12-21;23;1
1934-01;42.3;6.8;1934-01-22;22;0
1934-02;116.6;8.9;1934-02-13;8;3
1934-03;140.0;9.6;1934-03-25;10;0
1934-04;199.6;13.0;1934-04-19;7;7
1934-05;315.2;14.1;1934-05-20;4;14
1934-06;274.5;15.3;1934-06-18;6;12
1934-07;331.1;14.4;1934-07-20;2;12
1934-08;255.9;14.0;1934-08-03;6;7
1934-09;231.9;10.7;1934-09-09;4;6
1934-10;143.8;9.1;1934-10-02;9;1
1934-11;97.1;8.6;1934-11-02;13;3
1934-12;5.1;3.4;1934-12-24;30;0
1935-01;64.5;7.7;1935-01-16;19;2
1935-02;90.6;8.9;1935-02-18;12;1
1935-03;161.8;10.1;1935-03-26;10;1
1935-04;198.0;12.6;1935-04-20;7;4
1935-05;293.3;14.6;1935-05-21;3;13
1935-06;349.4;15.3;1935-06-06;1;14
1935-07;325.2;15.3;1935-07-01;2;14
1935-08;242.1;13.2;1935-08-31;5;7
1935-09;252.3;12.2;1935-09-02;2;11
1935-10;158.7;9.3;1935-10-11;7;4
1935-11;97.6;8.4;1935-11-04;16;4
1935-12;44.1;6.7;1935-12-22;22;0
1936-01;59.5;7.8;1936-01-29;18;3
1936-02;75.1;7.4;1936-02-11;15;0
