#datum;m_ta;m_tax;m_taxd;m_tan;m_tand
1901-01;-4.7;5.0;1901-01-23;-12.2;1901-01-10
1901-02;-2.1;3.5;1901-02-06;-7.9;1901-02-15
1901-03;5.8;13.5;1901-03-20;0.6;1901-03-01
1901-04;11.6;18.2;1901-04-10;7.4;1901-04-23
1901-05;16.8;22.5;1901-05-31;12.2;1901-05-05
1901-06;21.0;24.8;1901-06-03;14.6;1901-06-17
1901-07;22.4;27.4;1901-07-30;16.9;1901-07-04
1901-08;20.7;25.9;1901-08-01;14.7;1901-08-29
1901-09;15.9;19.9;1901-09-01;11.8;1901-09-09
1901-10;12.6;17.9;1901-10-04;8.3;1901-10-31
1901-11;4.7;11.1;1901-11-14;-0.2;1901-11-26
1901-12;4.2;8.4;1901-12-22;-1.4;1901-12-07
1902-01;3.4;7.5;1902-01-25;-2.2;1902-01-15
1902-02;2.8;6.6;1902-02-09;-2.8;1902-02-06
1902-03;5.3;13.3;1902-03-22;-3.5;1902-03-13
1902-04;10.5;15.8;1902-04-21;6.1;1902-04-08
1902-05;12.5;20.6;1902-05-31;8.5;1902-05-10
1902-06;18.5;23.8;1902-06-30;14.4;1902-06-19
1902-07;20.2;25.2;1902-07-01;15.5;1902-07-03
1902-08;21.1;25.4;1902-08-07;14.7;1902-08-13
1902-09;16.1;23.8;1902-09-05;9.5;1902-09-24
1902-10;10.8;15.4;1902-10-12;4.9;1902-10-25
1902-11;2.4;9.1;1902-11-01;-4.2;1902-11-18
1902-12;-3.1;7.2;1902-12-27;-17.6;1902-12-15
1903-01;-0.5;8.3;1903-01-11;-11.5;1903-01-23
1903-02;4.6;13.4;1903-02-23;-2.7;1903-02-17
1903-03;9.0;16.1;1903-03-28;4.9;1903-03-09
1903-04;9.0;16.5;1903-04-29;2.6;1903-04-19
1903-05;16.4;21.2;1903-05-03;11.3;1903-05-19
1903-06;19.0;23.1;1903-06-03;15.6;1903-06-07
1903-07;20.8;28.7;1903-07-20;12.9;1903-07-08
1903-08;20.4;24.3;1903-08-15;14.2;1903-08-20
1903-09;16.9;23.6;1903-09-08;12.5;1903-09-22
1903-10;11.9;20.3;1903-10-07;2.3;1903-10-21
1903-11;6.8;12.8;1903-11-01;1.1;1903-11-28
1903-12;2.6;7.8;1903-12-01;-7.5;1903-12-30
1904-01;-1.5;4.2;1904-01-20;-6.5;1904-01-12
1904-02;3.7;9.1;1904-02-22;-1.0;1904-02-01
1904-03;6.6;10.6;1904-03-11;1.3;1904-03-06
1904-04;11.9;18.8;1904-04-23;6.9;1904-04-08
1904-05;15.8;20.8;1904-05-29;10.8;1904-05-05
1904-06;20.0;25.1;1904-06-17;15.9;1904-06-26
1904-07;24.0;28.3;1904-07-18;20.6;1904-07-20
1904-08;21.7;28.5;1904-08-07;15.6;1904-08-26
1904-09;15.9;21.6;1904-09-14;8.5;1904-09-19
1904-10;11.6;15.7;1904-10-06;7.3;1904-10-31
1904-11;3.2;10.5;1904-11-04;-4.1;1904-11-17
1904-12;2.3;7.0;1904-12-14;-5.5;1904-12-28
1905-01;-3.2;4.8;1905-01-31;-11.0;1905-01-01
1905-02;1.8;5.9;1905-02-23;-4.0;1905-02-14
1905-03;7.1;14.5;1905-03-31;2.6;1905-03-06
1905-04;9.5;16.6;1905-04-30;3.0;1905-04-07
1905-05;16.4;20.0;1905-05-31;11.1;1905-05-10
1905-06;20.4;23.9;1905-06-04;12.8;1905-06-12
1905-07;23.7;27.4;1905-07-02;17.6;1905-07-20
1905-08;22.4;28.9;1905-08-05;16.2;1905-08-29
1905-09;18.0;23.4;1905-09-13;11.3;1905-09-22
1905-10;7.0;13.2;1905-10-01;2.8;1905-10-26
1905-11;6.7;11.6;1905-11-08;1.4;1905-11-26
1905-12;2.3;6.8;1905-12-01;-4.7;1905-12-31
1906-01;-0.1;5.8;1906-01-14;-6.5;1906-01-26
1906-02;2.7;8.9;1906-02-28;-0.3;1906-02-02
1906-03;6.1;12.9;1906-03-08;1.3;1906-03-15
1906-04;12.2;16.8;1906-04-18;2.5;1906-04-02
1906-05;17.1;21.2;1906-05-29;11.3;1906-05-03
1906-06;19.1;26.2;1906-06-29;12.7;1906-06-02
1906-07;21.6;25.4;1906-07-19;16.2;1906-07-01
1906-08;20.3;26.9;1906-08-04;14.9;1906-08-28
1906-09;15.2;24.0;1906-09-06;6.0;1906-09-26
1906-10;11.0;15.5;1906-10-08;5.3;1906-10-27
1906-11;8.3;12.6;1906-11-06;1.3;1906-11-16
1906-12;-0.3;8.2;1906-12-01;-8.0;1906-12-31
1907-01;-1.7;5.3;1907-01-16;-12.4;1907-01-22
1907-02;-1.3;4.9;1907-02-27;-8.7;1907-02-13
1907-03;3.3;7.7;1907-03-28;-0.9;1907-03-13
1907-04;8.5;12.0;1907-04-24;4.7;1907-04-10
1907-05;18.3;21.9;1907-05-11;9.5;1907-05-02
1907-06;20.1;24.6;1907-06-23;11.7;1907-06-04
1907-07;19.9;27.1;1907-07-02;13.7;1907-07-14
1907-08;20.4;24.8;1907-08-06;14.4;1907-08-22
1907-09;16.6;23.3;1907-09-03;11.2;1907-09-23
1907-10;15.9;20.5;1907-10-05;10.5;1907-10-23
1907-11;4.6;12.6;1907-11-01;0.6;1907-11-24
1907-12;3.0;7.2;1907-12-09;-5.7;1907-12-18
1908-01;-1.8;7.0;1908-01-28;-7.9;1908-01-03
1908-02;2.4;6.0;1908-02-22;-1.6;1908-02-10
1908-03;5.4;10.8;1908-03-31;1.7;1908-03-15
1908-04;10.2;14.6;1908-04-07;4.4;1908-04-10
1908-05;18.9;24.6;1908-05-23;12.4;1908-05-01
1908-06;21.5;27.4;1908-06-20;14.1;1908-06-09
1908-07;21.7;25.8;1908-07-13;18.2;1908-07-10
1908-08;19.0;23.4;1908-08-06;14.4;1908-08-14
1908-09;15.6;21.0;1908-09-11;12.0;1908-09-14
1908-10;10.9;18.0;1908-10-05;0.4;1908-10-21
1908-11;1.2;7.8;1908-11-01;-6.1;1908-11-17
1908-12;-0.0;6.9;1908-12-03;-5.8;1908-12-28
1909-01;-2.4;3.5;1909-01-14;-8.8;1909-01-25
1909-02;-1.6;5.1;1909-02-04;-7.7;1909-02-23
1909-03;5.4;13.1;1909-03-31;0.3;1909-03-17
1909-04;11.5;20.3;1909-04-27;2.9;1909-04-04
1909-05;15.4;21.8;1909-05-17;6.6;1909-05-08
1909-06;19.4;23.3;1909-06-22;14.6;1909-06-17
1909-07;20.1;26.6;1909-07-26;14.5;1909-07-02
