#datum;m_tnn;m_tnnd;m_tna;m_dtn0;m_dtn10;m_dtn20
1901-01;-16.9;1901-01-10;-7.9;28;16;0
1901-02;-12.8;1901-02-23;-5.0;24;5;0
1901-03;-3.3;1901-03-01;2.4;8;0;0
1901-04;3.6;1901-04-01;7.4;0;0;0
1901-05;7.2;1901-05-06;12.3;0;0;0
1901-06;11.2;1901-06-18;16.3;0;0;0
1901-07;14.5;1901-07-03;17.8;0;0;4
1901-08;10.5;1901-08-27;17.1;0;0;2
1901-09;7.5;1901-09-05;12.2;0;0;0
1901-10;4.0;1901-10-09;10.1;0;0;0
1901-11;-3.1;1901-11-30;1.8;12;0;0
1901-12;-4.4;1901-12-07;1.6;8;0;0
1902-01;-4.5;1902-01-31;0.8;10;0;0
1902-02;-6.2;1902-02-06;0.9;8;0;0
1902-03;-7.4;1902-03-14;2.0;6;0;0
1902-04;1.2;1902-04-01;6.5;0;0;0
1902-05;3.7;1902-05-01;8.5;0;0;0
1902-06;10.6;1902-06-10;14.3;0;0;1
1902-07;11.5;1902-07-04;15.6;0;0;0
1902-08;11.2;1902-08-14;16.4;0;0;2
1902-09;4.5;1902-09-24;12.2;0;0;0
1902-10;1.0;1902-10-25;8.0;0;0;0
1902-11;-8.2;1902-11-28;-0.0;16;0;0
1902-12;-18.9;1902-12-15;-5.5;21;7;0
1903-01;-12.6;1903-01-24;-2.8;18;5;0
1903-02;-5.0;1903-02-17;1.1;10;0;0
1903-03;1.1;1903-03-16;4.7;0;0;0
1903-04;0.6;1903-04-18;5.2;0;0;0
1903-05;6.4;1903-05-20;11.8;0;0;0
1903-06;12.2;1903-06-06;14.9;0;0;0
1903-07;11.5;1903-07-08;16.3;0;0;3
1903-08;12.0;1903-08-21;15.4;0;0;0
1903-09;7.7;1903-09-23;12.4;0;0;0
1903-10;-0.5;1903-10-22;8.5;2;0;0
1903-11;-2.0;1903-11-28;4.6;1;0;0
1903-12;-9.2;1903-12-31;0.9;6;0;0
1904-01;-9.8;1904-01-07;-3.2;27;0;0
1904-02;-3.5;1904-02-27;1.3;8;0;0
1904-03;-0.8;1904-03-07;3.3;4;0;0
1904-04;2.0;1904-04-04;7.6;0;0;0
1904-05;5.5;1904-05-06;11.0;0;0;0
1904-06;11.5;1904-06-30;14.8;0;0;0
1904-07;13.7;1904-07-01;17.9;0;0;5
1904-08;11.8;1904-08-25;16.7;0;0;3
1904-09;7.2;1904-09-19;12.4;0;0;0
1904-10;3.4;1904-10-31;8.8;0;0;0
1904-11;-8.8;1904-11-18;1.2;13;0;0
1904-12;-8.6;1904-12-31;-0.1;15;0;0
1905-01;-13.2;1905-01-02;-6.2;27;10;0
1905-02;-6.1;1905-02-14;-0.7;16;0;0
1905-03;0.5;1905-03-22;3.6;0;0;0
1905-04;-0.6;1905-04-09;5.5;2;0;0
1905-05;7.9;1905-05-24;12.0;0;0;0
1905-06;9.8;1905-06-14;16.1;0;0;0
1905-07;13.9;1905-07-21;18.5;0;0;9
1905-08;12.4;1905-08-30;17.6;0;0;8
1905-09;8.5;1905-09-19;14.0;0;0;0
1905-10;0.5;1905-10-30;4.6;0;0;0
1905-11;-0.1;1905-11-26;4.6;1;0;0
1905-12;-6.9;1905-12-20;0.4;14;0;0
1906-01;-8.9;1906-01-24;-2.5;20;0;0
1906-02;-2.5;1906-02-11;0.7;12;0;0
1906-03;-1.6;1906-03-15;2.6;6;0;0
1906-04;0.2;1906-04-01;7.6;0;0;0
1906-05;6.4;1906-05-04;12.8;0;0;0
1906-06;9.7;1906-06-08;15.0;0;0;1
1906-07;14.2;1906-07-14;17.0;0;0;1
1906-08;10.0;1906-08-29;15.7;0;0;1
1906-09;1.9;1906-09-26;11.4;0;0;0
1906-10;2.6;1906-10-27;7.6;0;0;0
1906-11;-2.0;1906-11-16;5.3;2;0;0
1906-12;-10.3;1906-12-31;-2.1;21;1;0
1907-01;-15.0;1907-01-01;-4.5;24;7;0
1907-02;-13.5;1907-02-16;-4.3;25;4;0
1907-03;-3.9;1907-03-12;0.2;15;0;0
1907-04;2.6;1907-04-01;5.5;0;0;0
1907-05;5.9;1907-05-01;12.9;0;0;0
1907-06;10.2;1907-06-04;15.6;0;0;0
1907-07;10.8;1907-07-13;15.4;0;0;1
1907-08;10.6;1907-08-23;15.3;0;0;0
1907-09;4.9;1907-09-24;11.8;0;0;0
1907-10;5.2;1907-10-23;11.4;0;0;0
1907-11;-3.0;1907-11-08;2.5;9;0;0
1907-12;-8.2;1907-12-18;0.8;9;0;0
1908-01;-10.8;1908-01-04;-4.1;26;1;0
1908-02;-4.6;1908-02-11;0.3;12;0;0
1908-03;-1.5;1908-03-16;2.4;3;0;0
1908-04;2.0;1908-04-09;6.5;0;0;0
1908-05;7.7;1908-05-01;14.0;0;0;0
1908-06;10.5;1908-06-10;16.3;0;0;3
1908-07;13.8;1908-07-06;17.0;0;0;3
1908-08;11.2;1908-08-13;15.0;0;0;0
1908-09;8.6;1908-09-04;11.5;0;0;0
1908-10;-4.0;1908-10-22;6.7;3;0;0
1908-11;-10.4;1908-11-17;-1.6;21;1;0
1908-12;-7.0;1908-12-31;-1.6;18;0;0
1909-01;-11.4;1909-01-28;-4.8;27;4;0
1909-02;-9.9;1909-02-23;-4.2;26;0;0
1909-03;-3.5;1909-03-17;2.5;7;0;0
1909-04;1.0;1909-04-04;7.0;0;0;0
1909-05;2.6;1909-05-08;11.3;0;0;0
1909-06;11.8;1909-06-17;14.9;0;0;0
1909-07;12.4;1909-07-02;15.7;0;0;1
1909-08;13.4;1909-08-25;17.3;0;0;1
1909-09;9.9;1909-09-08;14.3;0;0;0
1909-10;5.4;1909-10-25;10.6;0;0;0
1909-11;-4.5;1909-11-29;2.3;12;0;0
1909-12;-3.4;1909-12-17;1.7;7;0;0
1910-01;-6.8;1910-01-27;-0.4;15;0;0
1910-02;-1.4;1910-02-13;3.1;2;0;0
1910-03;-0.9;1910-03-31;3.5;2;0;0
1910-04;0.7;1910-04-12;6.8;0;0;0
1910-05;6.2;1910-05-07;10.8;0;0;0
1910-06;6.6;1910-06-22;14.2;0;0;0
1910-07;9.7;1910-07-07;14.5;0;0;0
1910-08;8.3;1910-08-16;14.4;0;0;1
1910-09;4.0;1910-09-27;10.3;0;0;0
1910-10;0.9;1910-10-15;5.9;0;0;0
1910-11;-7.0;1910-11-22;1.1;12;0;0
1910-12;-2.7;1910-12-24;1.7;13;0;0
1911-01;-11.0;1911-01-31;-1.1;21;1;0
1911-02;-15.2;1911-02-07;-4.3;18;6;0
1911-03;-4.2;1911-03-01;1.5;14;0;0
1911-04;-1.4;1911-04-06;4.9;4;0;0
1911-05;3.6;1911-05-22;10.8;0;0;0
1911-06;7.6;1911-06-03;12.6;0;0;0
1911-07;9.3;1911-07-06;15.4;0;0;1
1911-08;11.5;1911-08-17;15.5;0;0;0
1911-09;5.7;1911-09-12;10.9;0;0;0
1911-10;-0.7;1911-10-19;5.5;2;0;0
1911-11;1.1;1911-11-27;4.2;0;0;0
1911-12;-3.9;1911-12-31;1.4;8;0;0
1912-01;-16.4;1912-01-15;-6.4;25;9;0
1912-02;-13.0;1912-02-06;-0.9;16;2;0
1912-03;-1.9;1912-03-14;3.5;4;0;0
1912-04;-4.6;1912-04-14;3.9;5;0;0
1912-05;1.8;1912-05-02;9.6;0;0;0
1912-06;9.3;1912-06-18;13.9;0;0;0
1912-07;10.2;1912-07-06;15.3;0;0;0
1912-08;7.4;1912-08-13;12.9;0;0;0
1912-09;2.5;1912-09-29;8.5;0;0;0
1912-10;-0.1;1912-10-27;4.3;1;0;0
1912-11;-3.3;1912-11-11;-0.3;18;0;0
1912-12;-6.2;1912-12-08;-0.3;17;0;0
1913-01;-14.7;1913-01-15;-4.2;29;4;0
1913-02;-11.0;1913-02-20;-4.3;23;1;0
1913-03;-7.8;1913-03-03;2.6;8;0;0
1913-04;-2.9;1913-04-12;5.1;5;0;0
1913-05;3.9;1913-05-09;9.9;0;0;0
1913-06;6.5;1913-06-17;13.3;0;0;0
1913-07;9.9;1913-07-22;13.8;0;0;0
1913-08;8.4;1913-08-09;13.8;0;0;0
1913-09;4.8;1913-09-13;11.8;0;0;0
1913-10;-1.1;1913-10-15;5.4;1;0;0
1913-11;-2.4;1913-11-25;3.6;7;0;0
1913-12;-7.2;1913-12-21;-0.2;16;0;0
1914-01;-13.8;1914-01-30;-6.8;31;8;0
1914-02;-10.8;1914-02-07;-4.4;22;2;0
1914-03;-2.4;1914-03-19;2.9;6;0;0
1914-04;1.3;1914-04-06;6.3;0;0;0
1914-05;1.5;1914-05-04;9.7;0;0;0
1914-06;8.6;1914-06-04;13.4;0;0;0
1914-07;9.6;1914-07-29;14.8;0;0;0
1914-08;10.3;1914-08-21;13.6;0;0;0
1914-09;5.7;1914-09-27;9.9;0;0;0
1914-10;1.5;1914-10-09;6.1;0;0;0
1914-11;-7.2;1914-11-23;1.0;12;0;0
1914-12;-5.8;1914-12-02;1.1;12;0;0
1915-01;-8.5;1915-01-29;-0.3;14;0;0
1915-02;-10.7;1915-02-03;-1.0;12;1;0
1915-03;-6.5;1915-03-12;-0.2;16;0;0
1915-04;-1.3;1915-04-03;5.4;2;0;0
1915-05;4.3;1915-05-11;11.3;0;0;0
1915-06;8.8;1915-06-17;14.5;0;0;0
1915-07;11.6;1915-07-17;15.0;0;0;0
1915-08;9.8;1915-08-20;13.6;0;0;0
1915-09;1.2;1915-09-23;8.9;0;0;0
1915-10;-0.2;1915-10-29;6.5;1;0;0
1915-11;-11.9;1915-11-29;0.4;12;2;0
1915-12;-7.2;1915-12-22;2.4;7;0;0
1916-01;-2.5;1916-01-15;1.3;11;0;0
1916-02;-5.5;1916-02-22;-0.9;17;0;0
1916-03;0.9;1916-03-08;5.1;0;0;0
