Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Budapest, Magyarország",02/24/2019,3.1,-6.2,-1.1,-9.3,,0,,,7.3,202.92,,19.5,44.6,52.84,Partially cloudy
"Budapest, Magyarország",02/25/2019,8.4,-3.4,2.4,-5.5,,0,,,15.6,194.71,,13,48.2,54.69,Partially cloudy
"Budapest, Magyarország",02/26/2019,14.6,-0.8,7.2,-2.6,,0,,,34.2,263.63,55.4,13.5,43.7,53.64,Partially cloudy
"Budapest, Magyarország",02/27/2019,13.4,1.4,7.1,-0.7,,0,,,12.9,299.67,26.8,15.4,23.8,58.96,Clear
"Budapest, Magyarország",02/28/2019,19.3,-0.7,9.9,-3.3,,0,,,33.2,251.08,59.4,17,15.5,49.71,Clear
"Budapest, Magyarország",03/01/2019,13.6,9,10.5,6.3,,0.89,,,23.2,288.08,37.5,13.2,52.1,61.57,"Rain, Partially cloudy"
"Budapest, Magyarország",03/02/2019,10.1,1.9,6.4,0.6,,0.5,,,21.7,236.5,28.8,12.9,45.1,69.16,"Rain, Partially cloudy"
"Budapest, Magyarország",03/03/2019,12.3,3.2,7,1.1,,0.1,,,13.5,210.08,,11.8,63.8,76.73,"Rain, Partially cloudy"
"Budapest, Magyarország",03/04/2019,18.2,2.9,10.5,0.8,,0,,,32.9,181.17,64.8,14.7,49.5,57.28,Partially cloudy
"Budapest, Magyarország",03/05/2019,13.8,5.6,10.2,4.4,,0,,,32.1,261.63,53.6,15,34,45.38,Partially cloudy
"Budapest, Magyarország",03/06/2019,12.2,4.4,8,1.1,,1.94,,,21.2,231.46,58.6,15,36.8,62.67,"Rain, Partially cloudy"
"Budapest, Magyarország",03/07/2019,16.8,7.9,12.4,5,,0,,,23.3,187.46,40.7,15,48,52.72,Partially cloudy
"Budapest, Magyarország",03/08/2019,15.1,4.9,10.6,9.1,,0.42,,,20.2,232.33,28.4,14.3,46.2,64.97,"Rain, Partially cloudy"
"Budapest, Magyarország",03/09/2019,15.1,7.6,10.5,6.7,,0.25,,,25.8,237.04,33.5,15,54.2,63.14,"Rain, Partially cloudy"
"Budapest, Magyarország",03/10/2019,13,7.8,11,5.6,,1.51,,,31.6,236.08,29.8,15,50.4,61.81,"Rain, Partially cloudy"
"Budapest, Magyarország",03/11/2019,12.3,3.2,8.4,-0.8,,0.49,,,41.1,290.38,77.8,15,38.8,50.6,"Rain, Partially cloudy"
"Budapest, Magyarország",03/12/2019,9.1,-0.4,4.7,-2.5,,0,,,23.1,291.08,36.8,14.8,15.6,61.7,Clear
"Budapest, Magyarország",03/13/2019,9,-3.2,3.2,-5.6,,0.9,,,24.1,204.52,25.2,11.8,26.1,75.51,"Rain, Partially cloudy"
"Budapest, Magyarország",03/14/2019,10.3,2,5.8,2,,1.4,,,19.8,228.83,34.3,12.6,52.7,76.74,"Rain, Partially cloudy"
"Budapest, Magyarország",03/15/2019,11.7,5.1,8.3,2.7,,2.14,,,30.5,251.17,46.1,14.9,65.7,65.81,"Rain, Partially cloudy"
"Budapest, Magyarország",03/16/2019,10.9,5.4,8.2,3.8,,2.28,,,32.6,257.54,50,15.3,67.7,77.18,"Rain, Partially cloudy"
"Budapest, Magyarország",03/17/2019,21.3,2.6,11.8,0.6,,0,,,20.5,167.5,30.4,14.1,35.7,68.12,Partially cloudy
"Budapest, Magyarország",03/18/2019,12.4,7.5,9.2,4.4,,0,,,40.1,290.83,42.2,15,53.5,59.27,Partially cloudy
"Budapest, Magyarország",03/19/2019,10.1,4.4,7,2,,0,,,14.3,317.79,29.2,15,42,53.33,Partially cloudy
"Budapest, Magyarország",03/20/2019,11.6,2.3,6.6,0.1,,0,,,13.2,295.42,37.1,15,28.9,49.38,Partially cloudy
"Budapest, Magyarország",03/21/2019,14,-1.2,6.2,-3.2,,0,,,10.2,266,,14.6,26.9,53.63,Partially cloudy
"Budapest, Magyarország",03/22/2019,17.5,-1,8.7,-2,,0,,,7.7,198.7,,12,12.6,54.97,Clear
"Budapest, Magyarország",03/23/2019,19.2,4.7,11.8,5.8,,0,,,11.5,174.63,,13.2,8.2,62.12,Clear
"Budapest, Magyarország",03/24/2019,21.5,2.7,12.5,,,0,,,14.4,205.58,,11.8,14.1,62.77,Clear
"Budapest, Magyarország",03/25/2019,15.1,7.1,11.2,3.7,,0,,,29.4,293.58,34.4,14.2,43.9,57.6,Partially cloudy
"Budapest, Magyarország",03/26/2019,11.5,4.2,7.8,0.2,,0,,,27.5,307.46,,15,25.6,46.85,Partially cloudy
"Budapest, Magyarország",03/27/2019,12.2,2.9,8.1,1.8,,0,,,19.8,235.79,27.3,15,30.3,42.69,Partially cloudy
"Budapest, Magyarország",03/28/2019,14.1,-2.3,7.2,-4.1,,0,,,13.2,276.96,37.1,15,15.3,49.34,Clear
"Budapest, Magyarország",03/29/2019,16.1,2.2,9.4,-0.1,,0,,,13.2,251.17,,14.8,26.9,49.38,Partially cloudy
"Budapest, Magyarország",03/30/2019,18.6,0.3,9.6,-1,,0,,,8.9,186.25,,12.9,38.3,52.58,Partially cloudy
"Budapest, Magyarország",03/31/2019,21.8,1.1,12,,,0,,,13.2,203.35,,13,0,46.02,Clear
"Budapest, Magyarország",04/01/2019,19.6,7,13.4,6,,0,,,16.7,141.04,40.7,15,12.6,43.48,Clear
"Budapest, Magyarország",04/02/2019,18.3,3.7,11.4,1.9,,0,,,17.1,105.71,,15,9,37.73,Clear
"Budapest, Magyarország",04/03/2019,18.5,6.1,12.1,3.7,,0,,,20.5,113.04,34.1,15,43.2,40.33,Partially cloudy
"Budapest, Magyarország",04/04/2019,19.8,7.2,13.5,5.5,,0,,,23.9,111.79,38.4,14.9,42.6,39.22,Partially cloudy
"Budapest, Magyarország",04/05/2019,18.9,7.5,13.3,5.5,,2.06,,,23.7,120.29,32.4,15.1,31.5,50.04,"Rain, Partially cloudy"
"Budapest, Magyarország",04/06/2019,13.5,7.6,9.9,6.2,,2.26,,,14,95.04,,14.1,54,85.71,"Rain, Partially cloudy"
"Budapest, Magyarország",04/07/2019,18.4,6,11.9,4.6,,0,,,16.4,65.71,25.2,9.8,35.2,75.77,Partially cloudy
"Budapest, Magyarország",04/08/2019,22.2,8,14.7,7,,0.26,,,15.8,197,39.6,13.1,19.5,63.99,Rain
"Budapest, Magyarország",04/09/2019,21.9,11.5,15.9,,,0.8,,,14.3,249.38,32.4,14.2,45,62.28,"Rain, Partially cloudy"
"Budapest, Magyarország",04/10/2019,21.1,10.4,15.8,,,1.78,,,15,174.58,25.2,14.9,55,61.37,"Rain, Partially cloudy"
"Budapest, Magyarország",04/11/2019,15.8,8.6,12.5,6.3,,8.89,,,16.2,198.83,28.8,14.3,72.8,76.17,"Rain, Partially cloudy"
"Budapest, Magyarország",04/12/2019,11.1,7,8.9,4.6,,3.15,,,15.2,303.29,36,14.7,79.7,75.6,"Rain, Overcast"
"Budapest, Magyarország",04/13/2019,11.9,6.9,9.4,4.7,,2.05,,,12.2,251.5,32.4,14.7,66.8,68.55,"Rain, Partially cloudy"
"Budapest, Magyarország",04/14/2019,14,7,10.7,5.3,,3.57,,,15,206.29,28.8,11.8,65,72.45,"Rain, Partially cloudy"
"Budapest, Magyarország",04/15/2019,16.1,7.5,11.6,5.1,,0,,,21.2,126.75,32.2,14.7,30.1,36.09,Partially cloudy
"Budapest, Magyarország",04/16/2019,17.2,2.9,10.9,1,,0,,,13,213.29,,15,0,38.2,Clear
"Budapest, Magyarország",04/17/2019,16.6,3.4,11.3,2.3,,0,,,13,101.83,,15,44,52.29,Partially cloudy
"Budapest, Magyarország",04/18/2019,19.9,7.2,14.1,5.8,,0,,,18.1,80.92,25.2,15,25.7,53.43,Partially cloudy
"Budapest, Magyarország",04/19/2019,22.5,8.1,15.7,6.7,,0,,,14.4,225.42,25.2,14.8,12.6,43.94,Clear
"Budapest, Magyarország",04/20/2019,21.5,4.6,14,2.9,,0,,,10.8,248.46,25.2,14.8,1.5,38.86,Clear
"Budapest, Magyarország",04/21/2019,22.2,5.3,14.7,4.7,,0,,,23.7,280.29,28.2,14.8,11.9,42.25,Clear
"Budapest, Magyarország",04/22/2019,17.4,4.7,12.5,4.8,,0,,,24.2,89.83,44.6,15,27,57.32,Partially cloudy
"Budapest, Magyarország",04/23/2019,13,8.2,10.8,4.9,,6.39,,,25.6,96.58,36,14.9,60.7,80.23,"Rain, Partially cloudy"
"Budapest, Magyarország",04/24/2019,23.5,10,15.8,7.8,,1.23,,,19.3,112.17,39.6,15,48.3,66.92,"Rain, Partially cloudy"
"Budapest, Magyarország",04/25/2019,26.1,11.7,19.2,,,1.3,,,23.2,161.08,48.2,14.5,26.9,56.3,"Rain, Partially cloudy"
