#min ev;max ev;honap;ma_rsx;ma_rsxd;ma_rsn;ma_rsnd;ma_rx;ma_rxd
1901;2020;01;100.2;1915-01;0.5;1991-01;33.5;1929-01-02
1901;2020;02;136.0;1969-02;0.2;1998-02;40.0;1936-02-23
1901;2020;03;155.4;1937-03;0.5;2003-03;37.1;1912-03-08
1901;2020;04;97.8;2005-04;0.9;2007-04;44.4;1912-04-02
1901;2020;05;191.6;2010-05;0.8;1973-05;93.9;1937-05-23
1901;2020;06;237.8;1999-06;7.5;2000-06;78.0;1954-06-01
1901;2020;07;179.3;1914-07;3.3;1984-07;64.3;1920-07-29
1901;2020;08;263.1;1955-08;0.3;1962-08;115.4;2015-08-17
1901;2020;09;134.7;2014-09;0.2;1946-09;62.1;1915-09-03
1901;2020;10;154.4;1974-10;0.0;1995-10;50.9;1993-10-03
1901;2020;11;172.8;1962-11;0.0;2011-11;56.7;1983-11-27
1901;2020;12;119.5;1976-12;1.1;1972-12;37.3;1935-12-06
