#min ev;max ev;honap;ma_ssx;ma_ssxd;ma_ssn;ma_ssnd;ma_sx;ma_sxd
1912;2013;01;128.3;1981-01;7.3;1933-01;8.7;2012-01-30
1912;2013;02;152.8;2008-02;20.3;1947-02;10.3;2012-02-29
1912;2013;03;260.9;2012-03;59.1;1964-03;11.5;2008-03-31
1912;2012;04;304.3;2007-04;113.5;1923-04;13.5;1933-04-26
1912;2012;05;334.4;1920-05;152.8;1972-05;14.8;1921-05-26
1912;2012;06;373.8;1930-06;176.3;1926-06;15.3;1935-06-06
1912;2012;07;379.6;1928-07;193.5;1913-07;15.3;1935-07-01
1912;2012;08;344.3;2012-08;189.8;1989-08;14.2;1933-08-06
1912;2012;09;280.6;1961-09;60.6;1912-09;12.6;1948-09-01
1912;2012;10;221.4;2006-10;42.4;1915-10;10.9;2009-10-03
1912;2012;11;124.6;2011-11;22.1;1978-11;9.0;2010-11-06
1912;2012;12;99.5;1988-12;5.1;1934-12;8.0;1984-12-12
