#min ev;max ev;honap;ma_tax;ma_taxd;ma_tan;ma_tand
1901;2020;01;6.2;2007-01;-8.7;1942-01
1901;2020;02;7.3;2020-02;-7.7;1929-02
1901;2020;03;11.0;2014-03;1.5;1987-03
1901;2020;04;17.6;2018-04;7.6;1929-04
1901;2020;05;20.9;2018-05;12.0;1919-05
1901;2020;06;24.9;2019-06;16.4;1923-06
1901;2020;07;25.1;2015-07;18.0;1913-07
1901;2020;08;26.6;1992-08;17.7;1940-08
1901;2020;09;20.7;1947-09;11.4;1912-09
1901;2020;10;15.9;1907-10;7.0;1905-10
1901;2020;11;10.2;1926-11;0.4;1920-11
1901;2020;12;5.1;1934-12;-4.2;1933-12
